[2025-11-17 17:22:53] === AUDITORÍA AVANZADA - TESTS Y DUMMIES ===
[2025-11-17 17:22:53] Iniciada: 11/17/2025 17:22:53
[2025-11-17 17:22:53] 
[2025-11-17 17:22:53] 1. 🧪 DETECCIÓN DE ARCHIVOS DE TEST:
[2025-11-17 17:22:53]    🔍 Buscando: Test Files
[2025-11-17 17:23:18]      ✅ index.test.js - 41.64 KB
[2025-11-17 17:23:18]      ✅ fraction.test.js - 31.79 KB
[2025-11-17 17:23:18]      ✅ index.test.js - 10.76 KB
[2025-11-17 17:23:18]      ✅ index.test.js - 40.25 KB
[2025-11-17 17:23:18]      ✅ strnum.test.js - 8.45 KB
[2025-11-17 17:23:54]      ✅ index.test.ts - 8.91 KB
[2025-11-17 17:23:54]      ✅ atn.test.ts - 10.71 KB
[2025-11-17 17:23:55]      ✅ index.test.ts - 3.69 KB
[2025-11-17 17:23:55]      ✅ utilities.test.ts - 1.85 KB
[2025-11-17 17:23:55]      ✅ accessDeep.test.ts - 0.69 KB
[2025-11-17 17:23:55]      ✅ index.test.ts - 26.79 KB
[2025-11-17 17:23:55]      ✅ is.test.ts - 2.61 KB
[2025-11-17 17:23:55]      ✅ pathstringifier.test.ts - 0.64 KB
[2025-11-17 17:23:55]      ✅ registry.test.ts - 0.57 KB
[2025-11-17 17:23:55]      ✅ all-errors.test.ts - 4.64 KB
[2025-11-17 17:23:55]      ✅ anyunknown.test.ts - 0.66 KB
[2025-11-17 17:23:55]      ✅ array.test.ts - 1.89 KB
[2025-11-17 17:23:55]      ✅ async-parsing.test.ts - 12.34 KB
[2025-11-17 17:23:55]      ✅ async-refinements.test.ts - 1.57 KB
[2025-11-17 17:23:55]      ✅ base.test.ts - 0.76 KB
[2025-11-17 17:23:55]      ✅ bigint.test.ts - 1.93 KB
[2025-11-17 17:23:55]      ✅ branded.test.ts - 1.69 KB
[2025-11-17 17:23:55]      ✅ catch.test.ts - 6.4 KB
[2025-11-17 17:23:55]      ✅ coerce.test.ts - 6.49 KB
[2025-11-17 17:23:55]      ✅ complex.test.ts - 1.87 KB
[2025-11-17 17:23:55]      ✅ custom.test.ts - 0.93 KB
[2025-11-17 17:23:55]      ✅ date.test.ts - 0.96 KB
[2025-11-17 17:23:55]      ✅ deepmasking.test.ts - 5.09 KB
[2025-11-17 17:23:55]      ✅ default.test.ts - 3.44 KB
[2025-11-17 17:23:55]      ✅ description.test.ts - 1.29 KB
[2025-11-17 17:23:56]      ✅ discriminated-unions.test.ts - 8.34 KB
[2025-11-17 17:23:56]      ✅ enum.test.ts - 2.67 KB
[2025-11-17 17:23:56]      ✅ error.test.ts - 16.42 KB
[2025-11-17 17:23:56]      ✅ firstparty.test.ts - 2.33 KB
[2025-11-17 17:23:56]      ✅ firstpartyschematypes.test.ts - 0.77 KB
[2025-11-17 17:23:56]      ✅ function.test.ts - 6.42 KB
[2025-11-17 17:23:56]      ✅ generics.test.ts - 1.49 KB
[2025-11-17 17:23:56]      ✅ instanceof.test.ts - 1.13 KB
[2025-11-17 17:23:56]      ✅ intersection.test.ts - 3.02 KB
[2025-11-17 17:23:56]      ✅ language-server.test.ts - 8.12 KB
[2025-11-17 17:23:56]      ✅ literal.test.ts - 1.04 KB
[2025-11-17 17:23:56]      ✅ map.test.ts - 3.46 KB
[2025-11-17 17:23:56]      ✅ masking.test.ts - 0.08 KB
[2025-11-17 17:23:56]      ✅ mocker.test.ts - 0.38 KB
[2025-11-17 17:23:56]      ✅ nan.test.ts - 0.57 KB
[2025-11-17 17:23:56]      ✅ nativeEnum.test.ts - 2.29 KB
[2025-11-17 17:23:56]      ✅ nullable.test.ts - 1.14 KB
[2025-11-17 17:23:56]      ✅ number.test.ts - 6.22 KB
[2025-11-17 17:23:56]      ✅ object-augmentation.test.ts - 0.56 KB
[2025-11-17 17:23:56]      ✅ object-in-es5-env.test.ts - 0.76 KB
[2025-11-17 17:23:56]      ✅ object.test.ts - 11.48 KB
[2025-11-17 17:23:56]      ✅ optional.test.ts - 1.19 KB
[2025-11-17 17:23:57]      ✅ parser.test.ts - 1.1 KB
[2025-11-17 17:23:57]      ✅ parseUtil.test.ts - 0.85 KB
[2025-11-17 17:23:57]      ✅ partials.test.ts - 6.83 KB
[2025-11-17 17:23:57]      ✅ pickomit.test.ts - 3.54 KB
[2025-11-17 17:23:57]      ✅ pipeline.test.ts - 0.8 KB
[2025-11-17 17:23:57]      ✅ preprocess.test.ts - 4.42 KB
